ukb_code	fg_code	fg_name	category_fg	category_meta	description_ukb	description_more_ukb
100880					Dried fruit added to cereal	"Question asked: ""Did your cereal contain any dried fruit? (e.g. Sultana Bran, Fruit 'n' Fibre)?"" This question was only asked to participants who reported consuming breakfast cereals yesterday."
100890					Milk added to cereal	"Question asked: ""Did you add milk to your cereal?"" This question was only asked to participants who reported consuming breakfast cereals yesterday."
100920					Type milk consumed	"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message:  If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk."
100940					Bread consumed	"Question asked: ""Did you eat any bread or crackers yesterday? e.g. toast, sandwiches, rice cakes, bread rolls, hotdog roll, crumpets, tortilla wraps."" If the participant activated the Help feature they were shown the message:  Please do not include pizza as this will be asked later. Please do not include croissants and pastries as that will be asked later. If your bread or crackers is not on the list, please record it under Other located at the bottom of the list."
102080					Yogurt/ice-cream consumers	"Question asked: ""Did you eat any yogurt or ice-cream yesterday?"""
102130					Dessert consumers	"Question asked: ""Did you eat any cakes, puddings or other desserts yesterday? Also includes custard, cheesecake, rice pudding, sponge pudding etc."" If the participant activated the Help feature they were shown the message:  Fruit crumble/fruit pie is a special case and we ask that you record it as a portion of pastry or crumble (earlier page) plus a portion of stewed fruit (later page). Select which category best describes your type of dessert, otherwise select the Other category."
102250					Sweet snack consumers	"Question asked: ""Did you eat any biscuits, chocolate or sweets yesterday? Also includes sweets, cereal bars, chocolate covered raisins, sweet popcorn and other sweet snacks."" If the participant activated the Help feature they were shown the message:  Select which category best describes your type of sweet snack food, otherwise select the Other category."
102400					Savoury snack consumers	"Question asked: ""Did you eat any crisps, nuts or savoury snacks yesterday? Also includes seeds and olives."" If the participant activated the Help feature they were shown the message:  Select which category best describes your type of savoury snack, otherwise select the Other category."
102520					Soup consumers	"Question asked: ""Did you have any soup yesterday? Include cup-a-soup, canned soup, soup in cartons or pouches, soup eaten out and soup made at home."" If the participant activated the Help feature they were shown the message:  Soup eaten out will likely be either canned soup or home-made soup. For example: if the soup being served in a cafe has a brand name such as Heinz, please choose carton/pouch/canned soup; if the soup has been freshly prepared in a restaurant, please choose home-made soup. If home-made or carton/pouch/canned soup is recorded, please use the tick boxes to record the main ingredients. Please do not record these ingredients elsewhere. If a suitable tick box is not available, please use the Other tick box and enter the ingredient(s) in the box beside it."
102700					Starchy food consumers	"Question asked: ""Did you eat any pasta, rice, sushi or couscous yesterday? This includes noodles, lasagne pasta sheets and other cooked grains such as bulgar wheat."" This can accompany a meal, or be a meal in itself. It may be hot or cold."
102800					Cheese consumers	"Question asked: ""Did you eat any cheese yesterday? Cheese in sandwiches, on burgers, on jacket potato, pasta dishes."" If the participant activated the Help feature they were shown the message:  Please do not include cheese sauce as this will be asked later. A guide to servings: 1 serving of cheese - a chunk about the size of a small matchbox; 1 serving of grated cheese - about a handful or a large spoonful; 1 serving of spreadable cheese - the amount spread onto a typical slice of square sandwich bread."
102930					Egg consumers	"Question asked: ""Did you eat any eggs yesterday? e.g. with breakfast, with a salad, with toast, part of a main meal or in sandwiches."" If the participant activated the Help feature they were shown the message:  Gala pies (pork pies with egg) should have the boiled egg part recorded in this section (don't forget to record the pastry and pork as well). Do not count eggs that are cooking ingredients such as those in cakes or homemade burgers."
103000					Meat consumers	"Question asked: ""Did you eat any meat or poultry yesterday? Think about curry, stir-fry, sandwiches, pie fillings, sausages/burgers, liver, pate or mince."" If the participant activated the Help feature they were shown the message:  Select which category best describes your type of meat or poultry, otherwise select the Other category. Game and offal (not liver) should be recorded in the Other category."
103120					Fat removed from meat	"Question asked: ""Did you remove the fat from the beef, pork, lamb, mutton, bacon, ham or other cured meats?"" This question was only asked to participants who reported consuming these types of meat."
103130					Skin removed from poultry	"Question asked: ""Did you remove the skin from the chicken or turkey?"" This question was only asked to participants who reported consuming poultry. If the participant activated the Help feature they were shown the message:  N/A means Not Applicable."
103140					Fish consumer	"Question asked: ""Did you eat any fish or seafood yesterday? e.g. at breakfast, takeaway with chips, smoked fish, fish pate, tuna in sandwiches."" If the participant activated the Help feature they were shown the message:  Any fish or seafood used in sushi does not need to be recorded here. Sushi should have been recorded previously in the pasta and rice section. Select which category best describes the type of fish you ate, otherwise select the Other category."
103250					Vegetarian alternatives intake	"Question asked: ""Did you eat any vegetarian alternatives to meat yesterday? e.g. vegetarian burgers / sausages, nut roast, tofu, soya, Quorn."" If the participant activated the Help feature they were shown the message:  Select which category best describes your type of vegetarian food, otherwise select the Other category."
103310					Spreads/sauces consumers	"Question asked: ""Did you have any spreads, sauces, dips, jams or honey yesterday? e.g. Marmite, cream, mayo, hummus, dressings, ketchup, gravy, white sauce, cheese sauce, pasta sauce."" If the participant activated the Help feature they were shown the message:  Please do not include cream cheese as that was asked about in the cheese section. Select which category best describes your type of spread, sauce or dip, otherwise select the Other category."
103990					Vegetable consumers	"Question asked: ""Did you eat any beans, lentils, potatoes or vegetables yesterday? Include fresh, tinned, frozen, dried; chips, salad, coleslaw, baked beans, chickpeas, veg in stews, pies etc."" If the participant activated the Help feature they were shown the message:  Please include all vegetables, whether they are eaten by themselves, as an accompaniment or within a particular dish/meal such as a stew or pie. A serving of vegetables would be the typical amount dished up as an accompaniment to main meal. e.g. if you had a roast dinner with meat, potatoes, carrots and peas, most people would have one serving of potatoes, one serving of carrots and one serving of peas. For small amounts of vegetables that are not big enough to be counted individually (e.g. in a stew), please guess the number of servings and record that under Vegetable pieces. A serving is about the amount that would be dished up using a serving spoon (large spoon typically used in canteens or self-service buffets). Example: a beef stew with carrot and parsnip may have enough vegetables in it to count as a half serving of carrots plus a half serving of parsnip (possibly even a whole serving if there are a lot of vegetables in the stew). If not, it may be better to record the vegetables as a half serving of Vegetable pieces. For a selection of vegetables where the precise type may be unknown (for example in a shop bought vegetable pie or a stir fry cooked by a friend) please guess the total amount and record that under Vegetable pieces. Olives should have been recorded earlier under 'Savoury Snacks'. If your vegetable is not on the list, please record it under 'Other' located at the bottom of the list."
104400					Fruit consumers	"Question asked: ""Did you eat any fruit yesterday?"" If the participant activated the Help feature they were shown the message:  Include fresh, frozen, dried, canned or cooked. Help section: Please include all fruit, whether eaten by itself or as part of a sweet or savoury dish (e.g. fruit pie or crumble; pork cooked with apple). Fruits recorded under cooked & dried should not be recorded individually further down the list. Small amounts of fruit that are not big enough to be counted individually, or where the precise type may be unknown (e.g. in a mixed fruit salad), please guess the total amount and record that under Mixed fruit. As canned fruit usually comes in segments or slices, please give your answer in servings rather than as whole fruit. Fruit used in a smoothie should not be recorded here. The fruit smoothie should have been recorded in the drinks section. Chocolate covered fruit (e.g. chocolate raisins) and yogurt covered fruit (e.g. yogurt coated pineapple) should not be recorded here. Instead record it under sweet snacks (several pages earlier). Dried fruit that is included with cereals such as Sultana Bran and Optivita should not be record here because it should have been recorded on the cereals page. If your fruit is not on the list, please record it under Other located at the bottom of the list."
104670					Vitamin supplement user	"Question asked: ""Did you have any vitamin or mineral supplements yesterday? e.g. Vitamin C, multivitamins, fish oil, calcium supplement."" If the participant activated the Help feature they were shown the message:  Select which category best describes your type of vitamin and/or mineral supplement, otherwise select the Other category."
110001					Invitation to complete online 24-hour recall dietary questionnaire, acceptance	Response to emailed invitation to complete online 24-hour recall dietary questionnaire. There is no data for instance=0 since this was completed as part of the initial assessment centre.
1150					Usual side of head for mobile phone use	"ACE touchscreen question ""On what side of the head do you usually use a mobile phone?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F1150~ was collected from participants who indicated they have used a mobile phone at least once per week in the past or do not know whether they have used or not, as defined by their answers to ~F1110~"
120					Birth weight known	Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.
1210					Snoring	"ACE touchscreen question ""Does your partner or a close relative or friend complain about your snoring?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know."
12187					Brain MRI measuring method	This field indicates whether the participant was able to attempt the brain MRI (direct entry) or was unable to start it due to equipment failure or some other reason.
12188					Operator indicated brain MRI measurement completed	At the end of the brain MRI process the device operator was required to indicate whether they believed the measurement had been performed fully.    Please note that this does not always mean that the participant has complete brain MRI data available for download.
12223					Abdominal MRI measuring method	.
12224					Abdominal MRI measurement completed	.
12253					DXA measuring method	.
12254					DXA measurement completed	.
1418					Milk type used	"ACE touchscreen question ""What type of milk do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of milk, please select the one that you drink the most. If you are unsure, select Do not know."
1428					Spread type	"ACE touchscreen question ""What type of spread do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of spread, please select the one that you use the most. If you are unsure, select Do not know."
1448					Bread type	"ACE touchscreen question ""What type of bread do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of bread, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1448~ was collected from all participants except those who indicated that they do not eat bread or less than one slice each week, as defined by their answers to ~F1438~"
1468					Cereal type	"ACE touchscreen question ""What type of cereal do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of cereal, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1468~ was collected from all participants except those who indicated that they do not eat cereal or less than one bowl of cereal each week, as defined by their answers to ~F1458~"
1508					Coffee type	"ACE touchscreen question ""What type of coffee do you usually drink?"" If the participant activated the Help button they were shown the message:     If you drink more than one type of coffee, please select the one that you drink the most. If you are unsure, select Do not know.      ~F1508~ was collected from participants who indicated that they drank at least 1 cup of coffee each day or less than one cup each day, as defined by their answers to ~F1498~"
1538					Major dietary changes in the last 5 years	"ACE touchscreen question ""Have you made any major changes to your diet in the last 5 years?"""
1618					Alcohol usually taken with meals	"ACE touchscreen question ""When you drink alcohol is it usually with meals?"" ~F1618~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~"
1647					Country of birth (UK/elsewhere)	"ACE touchscreen question ""Where were you born?""   Participants who indicated they were born inside the United Kingdom were asked during the verbal interview in what area they had been born (~F129~ and ~F130~).   Participants who indicated they were born outside the United Kingdom and Republic of Ireland were asked during the verbal interview in what country they had been born (~F20115~) and when they had immigrated (~F3659~).   This question was dropped from the touchscreen protocol on 24/10/2016."
1677					Breastfed as a baby	"ACE touchscreen question ""Were you breastfed when you were a baby?""   This question was dropped from the touchscreen protocol on 24/10/2016."
1707					Handedness (chirality/laterality)	"ACE touchscreen question ""Are you right or left handed?""   This question was dropped from the touchscreen protocol on 24/10/2016."
1747					Hair colour (natural, before greying)	"ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)""  If the participant activated the Help button they were shown the message:        If you are unsure, please select the colour closest to your natural  adult hair colour or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016."
1767					Adopted as a child	"ACE touchscreen question ""Were you adopted as a child?"""
1777					Part of a multiple birth	"ACE touchscreen question ""Are you a twin, triplet or other multiple birth?""  ~F1777~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~   This question was dropped from the touchscreen protocol on 24/10/2016."
1787					Maternal smoking around birth	"ACE touchscreen question ""Did your mother smoke regularly around the time when you were born?""  ~F1787~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~   This question was dropped from the touchscreen protocol on 24/10/2016."
1797					Father still alive	"ACE touchscreen question ""Is your father still alive?"" ~F1797~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~"
1835					Mother still alive	"ACE touchscreen question ""Is your mother still alive?"" ~F1835~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~"
1920					Mood swings	"ACE touchscreen question ""Does your mood often go up and down?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"
1930					Miserableness	"ACE touchscreen question ""Do you ever feel 'just miserable' for no reason?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"
1940					Irritability	"ACE touchscreen question ""Are you an irritable person?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"
1950					Sensitivity / hurt feelings	"ACE touchscreen question ""Are your feelings easily hurt?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"
1960					Fed-up feelings	"ACE touchscreen question ""Do you often feel 'fed-up'?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"
1970					Nervous feelings	"ACE touchscreen question ""Would you call yourself a nervous person?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"
1980					Worrier / anxious feelings	"ACE touchscreen question ""Are you a worrier?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"
1990					Tense / 'highly strung'	"ACE touchscreen question ""Would you call yourself tense or 'highly strung'?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"
2000					Worry too long after embarrassment	"ACE touchscreen question ""Do you worry too long after an embarrassing experience?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"
20001					Cancer code, self-reported	"Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
20002					Non-cancer illness code, self-reported	"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses."
20003					Treatment/medication code	Code for treatment Negative codes indicate free-text entry.
20004					Operation code	"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
20079					Day-of-week questionnaire completion requested	During the online phase participants were emailed an invitation to complete the questionnaire and asked to complete it the same day if possible. This email contained a weblink to the server hosting the system.
20080					Day-of-week questionnaire completed	This field holds the day of the week on which participants completed the questionnaire. Note that the data returned represents their recall of the previous day of the week.
20084					Vitamin and/or mineral supplement use	This field indicates the vitamin and/or mineral supplements that the participant indicated they consumed yesterday. The data is an amalgamation of 21 individual Yes/No answers which were asked if the participant indicated they consumed any supplements.
20085					Reason for not eating or drinking normally	This field indicates the reason why the participant did not eat or drink normally yesterday. The data is an amalgamation of 4 individual Yes/No answers which were asked if the participant indicated they did not eat or drink normally.
20086					Type of special diet followed	This field indicates whether the participant routinely follows a special diet. The data is an amalgamation of 4 individual Yes/No answers.   Some of the self-entered data regarding special diets is inconsistent with the actual food intake reported on the same occasion by participants. For instance, around a tenth of people indicating they followed a vegan diet also answered that they had eaten meat the prevous day.
20087					Types of spread used on bread/crackers	This field indicates the type(s) of spread the participant used on bread or crackers yesterday. The data is an amalgamation of 8 individual Yes/No answers and 29 corresponding tick boxes which were asked if the participant indicated they used spread on bread or crackers.
20088					Types of spreads/sauces consumed	This field indicates the type(s) of spreads or sauces the participant consumed yesterday. The data is an amalgamation of 19 individual Yes/No answers which were asked if the participant indicated they consumed any spreads or sauces.
20089					Type of meals eaten	This field indicates the type(s) of meals the participant consumed yesterday. The data is an amalgamation of 5 individual Yes/No answers.
20090					Type of fat/oil used in cooking	This field indicates the type(s) of fats or oils the participant used when cooking yesterday. The data is an amalgamation of 16 individual Yes/No answers and 29 corresponding tick boxes.
20091					Type of sliced bread eaten	This field indicates the type(s) of sliced bread the participant consumed yesterday. The data is an amalgamation of 5 individual tick boxes which were asked if the participant indicated they consumed sliced bread.
20092					Type of baguette eaten	This field indicates the type(s) of baguette the participant consumed yesterday. The data is an amalgamation of 5 individual tick boxes which were asked if the participant indicated they consumed baguette.
20093					Type of large bap eaten	This field indicates the type(s) of large bap the participant consumed yesterday. The data is an amalgamation of 5 individual tick boxes which were asked if the participant indicated they consumed large bap.
20094					Type of bread roll eaten	This field indicates the type(s) of bread roll the participant consumed yesterday. The data is an amalgamation of 5 individual tick boxes which were asked if the participant indicated they consumed bread roll.
20095					Size of white wine glass drunk	This field indicates the size(s) of white wine glass the participant consumed yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they consumed white wine.
20096					Size of red wine glass drunk	This field indicates the size(s) of red wine glass the participant consumed yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they consumed red wine.
20097					Size of rose wine glass drunk	This field indicates the size(s) of rose wine glass the participant consumed yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they consumed rose wine.
20098					Thickness of butter/margarine spread on sliced bread	This field indicates the thickness(es) the participant spread butter or margarine on to sliced bread yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they spread butter or margarine on to sliced bread.
20099					Thickness of butter/margarine spread on baguettes	This field indicates the thickness(es) the participant spread butter or margarine on to baguettes yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they spread butter or margarine on to baguettes.
2010					Suffer from 'nerves'	"ACE touchscreen question ""Do you suffer from 'nerves'?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"
20100					Thickness of butter/margarine spread on large baps	This field indicates the thickness(es) the participant spread butter or margarine on to large baps yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they spread butter or margarine on to large baps.
20101					Thickness of butter/margarine spread on bread rolls	This field indicates the thickness(es) the participant spread butter or margarine on to bread rolls yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they spread butter or margarine on to bread rolls.
20102					Thickness of butter/margarine spread on crackers/crispbreads	This field indicates the thickness(es) the participant spread butter or margarine on to crackers or crispbreads yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they spread butter or margarine on to crackers or crispbreads.
20103					Thickness of butter/margarine spread on oatcakes	This field indicates the thickness(es) the participant spread butter or margarine on to oatcakes yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they spread butter or margarine on to oatcakes.
20104					Thickness of butter/margarine spread on other bread	This field indicates the thickness(es) the participant spread butter or margarine on to other breads yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they spread butter or margarine on to other breads.
20105					Liquid used to make porridge	This field indicates the liquid(s) the participant used to make porridge yesterday. The data is an amalgamation of 2 individual tick boxes which were asked if the participant indicated they consumed porridge.
20106					Type of yogurt eaten	This field indicates the type(s) of yoghurt the participant consumed yesterday. The data is an amalgamation of 2 individual tick boxes which were asked if the participant indicated they consumed yoghurt.
20107					Illnesses of father	"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Has/did your father ever suffer from? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets:      Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes.   Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer.     If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed.  If the participant activated the Help button they were shown the message:     Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about.      The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20108					Ingredients in canned soup	This field indicates the ingredients in canned soup the participant consumed yesterday. The data is an amalgamation of 5 individual tick boxes which were asked if the participant indicated they consumed canned soup.
20109					Ingredients in homemade soup	This field indicates the ingredients in homemade soup the participant consumed yesterday. The data is an amalgamation of 5 individual tick boxes which were asked if the participant indicated they consumed homemade soup.
20110					Illnesses of mother	"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Has/did your mother ever suffer from? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets:      Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes.   Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer.     If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed.  If the participant activated the Help button they were shown the message:     Answer this question for blood relations only. If you are not sure if your mother suffered from any of the listed illnesses please select Do not know. If you know your mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about.      The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural mother was still alive or had died, as defined by their answers to ~F1835~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting Mother illnesses."
20111					Illnesses of siblings	"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets:      Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes.   Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer.     If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed.  If the participant activated the Help button they were shown the message:     Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once.     The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~."
20112					Illnesses of adopted father	"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Has/did your ADOPTED father ever suffer from? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets:      Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes.   Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer.     If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed.  If the participant activated the Help button they were shown the message:     Answer this question for your adopted father only. If you are not sure if your adopted father suffered from any of the listed illnesses please select Do not know. If you know your adopted father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about.      The information was collected from participants who they were adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their adopted father was still alive or had died, as defined by their answers to ~F3912~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting adopted Father illnesses."
